주종,주류명,생산국가,용량,도수,특징
위스키,글렌로티스 1998,영국,700,43,"향 : 풍부하고 매운 바닐라, 골든 시럽과 레몬의 풀 향글렌로티스 빈티지 1991, 1994를 잊는 빈티지 1998은 계피의 강렬하고 톡 쏘는 매운 향과 기분좋은 꽃 향기를 가지고 있습니다. 미국산 셰리오크와 스페인산 셰리오크 그리고 리필 캐스크를 통해 잘 익은 오크와 바닐라의 풍성한 달콤함을 갖게 됩니다."
위스키,글렌로티스 25년,영국,700,43,"The Soleo Collection from Glenrothes takes its name from the process of sun-drying grapes for sherry making in Jerez, so you're in for a sherried treat here. The range also eschews the vintages as seen on previous Glenrothes bottlings, instead featuring age statements on most of them. This one is a 25 year old expression, and features a high proportion of first fill sherry seasoned oak casks at its core. Yummers."
위스키,글렌로티스 WMC,영국,700,48.8,"The Whisky Maker's Cut expression from Glenrothes' Soleo Collection is completely matured in first-fill sherry seasoned casks, resulting in punchy notes of orange, cinnamon and dried fruit. The whole range is named after the process of sun-drying grapes in preparation for sherry production, hence the particularly heavy focus on sherry throughout the series."
위스키,글렌로티스1995,영국,700,43,"향 : 꽃 향, 시트러스와 버터스카치글렌로티스 1995는 글렌로티스로 병입된 최초의 빈티지입니다. 버터 스카치가 전해지는 미국산 셰리오크 통으로 30%를 채우고 스페인산 셰리오크에서 말린 과일 향을 더합니다. 나머지는 글렌로티스의 특징인 독특한 맛과 복잡성을 주기 위해 리필 캐스크로 채우게 됩니다. 벌꿀 버터스카치로 코팅된 시트러스의 감미로운 향은 매혹적이고 이국적입니다."
위스키,글렌리벳 15년,스코틀랜드 스페이사이드,700,43,"더 글렌리벳사는 미국 판매 1위를 자랑하는 대표적인 싱글 몰트 위스키 브랜드. 더 글렌리벳 15년산은 강렬한 황금색에 크리미하고 풍부한 버터향과 과일, 견과류 맛을 느낄 수 있다."
위스키,글렌리벳 18년,스코틀랜드 스페이사이드,700,40,"더 글렌리벳 사는 미국 판매 1위를 자랑하는 대표적인 싱글 몰트 위스키 브랜드. 더 글렌리벳 18년은 풍부한 아로마 향과 밸런스가 특징. 달콤한 오렌지, 열대과일의 풍미를 느낄 수 있다.     Tasting NotesApricot-hued appearance, along with an aroma of dried fruits - particularly mangoes - and toffee. Palate is wonderfully balanced, with notes of ripe oranges, raisins and ginger, and leads to a phenomenal finish marked by butterscotch candy and lemon squares."
위스키,글렌리벳 21년,스코틀랜드 스페이사이드,700,43,더 글렌리벳 사는 미국 판매 1위를 자랑하는 대표적인 싱글 몰트 위스키 브랜드. 더 글렌리벳 21년은 주문 생산으로 소량만 생산한다. 엄선된 위스키 원액만을 사용하고 입안 가득 시럽 같은 달달한 계피와 생강의 강렬한 풍미가 오래도록 지속 된다.
위스키,글렌리벳 25년,스코틀랜드 스페이사이드,700,43,"스페이사이드알콜도수:43%가격:     더 글렌리벳 사는 미국 판매 1위를 자랑하는 대표적인 싱글 몰트 위스키 브랜드. 더 글렌리벳 25년은 개별적으로 선별된 셰리 오크에서 제작된다. 시나몬의 부드럽고 우아하면서도 강렬한 맛을 느낄 수 있고, 오래도록 입안에 남아있는 것이 특징     Tasting NotesAroma of ripe fruits, dark chocolate and creamy vanilla. Hints of raisins, dates and figs on the palate, which complement notes of walnuts, brown sugar and cinnamon. Finish is long and opulent, with notes of sherry, red fruits and spices mingled together."
위스키,글렌리벳12년,영국,700,40,"1800년대 초 스코틀랜드에서 불법 증류가 성행하던 시절에 뛰어난 통찰력과 장인 정신으로 최고의 위스키를 꿈꾸던 조지 스미스는 1824년에 글렌리벳 지역에서 최초의 합법적인 증류 면허를 취득하였다. 글렌리벳은 위스키 생산에 최적의 자연환경을 갖춘 스코틀랜드 하이랜드 북동부에 위치한 마을의 이름이다. 글렌리벳은 고품질의 대명사가 되었고, 스페이사이드 지역 증류소들은 글렌리벳의 맛에 감탄하여 그 스타일을 모방하려고 했다.심지어 글렌리벳 지역과 무관한 수많은 증류업자들도 브랜드 이름에 글렌리벳을 추가함으로써 그 명성을 도용하려고 했다. 글렌리벳은 타 증류업자들과의 차별화를 위해 드디어 1884년에 글렌리벳이란 이름 앞에 ‘단 하나의’라는 뜻으로 정관사 ‘더(The)’를 붙여 법원으로부터 상표 등록 인증을 받게 된다. 그리하여 유일하게 ‘더 글렌리벳’으로 불리는 영광을 얻게 되었다.달콤한 몰트와 신선한 꽃향기가 나며, 사과 파이와 버터 향이 물씬 풍긴다. 민트와 함께 적당한 향신료가 열대 과일 맛과 조화를 이룬다. 부드럽고 깔끔한 여운을 남긴다"
위스키,글렌리벳12년,영국,700,40,"글렌리벳12년 잔세트1800년대 초 스코틀랜드에서 불법 증류가 성행하던 시절에 뛰어난 통찰력과 장인 정신으로 최고의 위스키를 꿈꾸던 조지 스미스는 1824년에 글렌리벳 지역에서 최초의 합법적인 증류 면허를 취득하였다. 글렌리벳은 위스키 생산에 최적의 자연환경을 갖춘 스코틀랜드 하이랜드 북동부에 위치한 마을의 이름이다. 글렌리벳은 고품질의 대명사가 되었고, 스페이사이드 지역 증류소들은 글렌리벳의 맛에 감탄하여 그 스타일을 모방하려고 했다.심지어 글렌리벳 지역과 무관한 수많은 증류업자들도 브랜드 이름에 글렌리벳을 추가함으로써 그 명성을 도용하려고 했다. 글렌리벳은 타 증류업자들과의 차별화를 위해 드디어 1884년에 글렌리벳이란 이름 앞에 ‘단 하나의’라는 뜻으로 정관사 ‘더(The)’를 붙여 법원으로부터 상표 등록 인증을 받게 된다. 그리하여 유일하게 ‘더 글렌리벳’으로 불리는 영광을 얻게 되었다.달콤한 몰트와 신선한 꽃향기가 나며, 사과 파이와 버터 향이 물씬 풍긴다.민트와 함께 적당한 향신료가 열대 과일 맛과 조화를 이룬다. 부드럽고 깔끔한 여운을 남긴다."
