,주종,상품명,생산국가,제조사,주원료,용량,도수
241,전통주,부안참뽕와인,대한민국,동진주조,"정제수, 오디(국내산), 주정, 과당",750ml,13
242,전통주,영일만친구 막걸리,대한민국,동해명주,"국내산 쌀, 물엿, 우뭇가사리, 효모, 조제 종국, 정제효소제, 아스파탐, 젖산",750ml,6
243,전통주,도구막걸리,대한민국,동해명주,"정제수, 밀가루, 효모, 조제종국, 정제효소제, 젖산, 아스파탐, 아세설팜칼륨",750ml,6
244,전통주,세오녀탁주,대한민국,동해명주,"정제수, 쌀(국내산, 포항쌀), 누룩, 효모, 조제종국, 정제효소제, 젖산",750ml,6
245,전통주,동해동동주,대한민국,동해명주,쌀100%(포항쌀),750ml,6
246,전통주,연오랑탁주,대한민국,동해명주,"정제수, 쌀(국내산, 포항쌀), 누룩, 효모, 조제종국, 정제효소제, 젖산",750ml,12
247,전통주,북극곰 막걸리,대한민국,동해명주,"정제수, 쌀(국내산_포항유기농쌀), 물엿, 효모, 국, 정제효소제, 아스파탐(합성감미료, 페닐알라닌함유), 아세설팜칼륨(합성감미료), 젖산(산도조절제), 밀 함유",750ml,6
248,전통주,도구막걸리,대한민국,동해명주,"밀(외국산), 쌀(국내산, 외국산), 물엿, 효모, 조제종국, 정제효소제, 아스파탐, 젖산",750ml,6
249,전통주,메밀로,대한민국,두루,"국내산 쌀, 메밀, 누룩, 정제수",500ml,45
250,전통주,대관람차,대한민국,두루미양조장 / 구름아양조장,"정제수,맵쌀,(철원 오대쌀),국,효모",500ml,12
251,전통주,술헤는밤,대한민국,두루전통양조,"쌀(국내산), 누룩(국내산)",750ml,8
252,전통주,희양산 막걸리 15도,대한민국,두술도가,"정제수, 쌀(국내산), 누룩(국내산), 효모",500ml,15
253,전통주,희양산 막걸리 9도,대한민국,두술도가,"정제수, 쌀(국내산), 누룩(국내산), 효모",750ml,9
