,주종,상품명,생산국가,제조사,주원료,용량,도수
485,전통주,산막생대덕주,대한민국,신탄진주조,"국내산 찹쌀, 누룩",750ml,13
486,전통주,백련 맑은술,대한민국,신평양조장,"백미, 정제수, 물엿, 과당, 누룩, 백련잎, 누룩 등",375ml,12
487,전통주,백련 생막걸리 snow (스노우),대한민국,신평양조장,"백미, 연잎, 정제수, 종국, 효모, 아스파탐, 물엿 등",750ml,6
488,전통주,하얀연꽃 백련생막걸리,대한민국,신평양조장,"국내산 백미, 국내산 백련잎","375ml, 750ml",7
489,전통주,하얀연꽃 백련막걸리,대한민국,신평양조장,국내산 쌀,375ml,7
490,전통주,하얀연꽃 백련맑은 술,대한민국,신평양조장,"국내산 쌀, 백련잎","375ml, 750ml",12
491,전통주,씨(C) 그린막걸리,대한민국,씨(C) 막걸리,"쌀, 물, 누룩, 케일, 개똥쑥",500ml,12
492,전통주,씨(C) 옐로막걸리,대한민국,씨(C) 막걸리,"쌀, 물, 누룩, 당근, 레몬그라스",500ml,12
493,전통주,씨(C) 막걸리 시그니처 큐베,대한민국,씨(C) 막걸리,"쌀, 물, 누룩, 노간주나무열매, 건포도",500ml,12
494,전통주,술공방 9.0 막걸리,대한민국,아리랑주조,"정제수, 쌀(국내산), 국(쌀, 국내산), 누룩(밀)",500ml,9
495,전통주,허니문,대한민국,아이비영농조합법인,벌꿀(국내산),375ml,8
496,전통주,허니비,대한민국,아이비영농조합법인,벌꿀(국내산),500ml,8
497,전통주,악양생막걸리,대한민국,악양주조,"정제수, 백미(국내산), 입국(국내산), 누룩(국내산), 조효소제(밀), 젖산(산도조절제), 혼합제제(효모, 덱스트린, 유당), 혼합제제(스테비올 배당체, 덱스트린), 혼합제제(효소:아밀라아제, 효소:글루코아밀라아제, 탄산칼슘, 황산칼슘)",750ml,6
498,전통주,정감생막걸리,대한민국,악양주조,"정제수, 백미(국내산), 찹쌀(국내산), 입국(국내산), 누룩(국내산), 조효소제(밀), 미강(쌀겨), 젖산(산도조절제), 혼합제제(효모, 덱스트린, 유당), 혼합제제(스테비올 배당체, 덱스트린), 혼합제제(효소:아밀라아제, 효소:글루코아밀라아제, 탄산칼슘, 황산칼슘)",750ml,6
499,전통주,안동소주 일품 17도,대한민국,안동소주일품,"국내산 쌀, 입국",350ml,17
500,전통주,안동소주 일품 40도 골드,대한민국,안동소주일품,"국내산 쌀, 입국",500ml,40
501,전통주,안동소주 일품 21도,대한민국,안동소주일품,"국내산 쌀, 입국",350ml,21
502,전통주,안양동동주,대한민국,안양주조장,"국내산 햅쌀, 국내산 친환경 햇찹쌀",1700ml,6
503,전통주,장수 오미자주,대한민국,알에프,"오미자(국내산), 정제수, 주정, 설탕, 효모",360ml,16.5
504,전통주,오미시앙 스페셜,대한민국,알에프,"오미자, 주정, 설탕, 효모",500ml,12
505,전통주,과하주 온,대한민국,양온소 온,"찹쌀, 정제수, 누룩, 더덕, 주정",500ml,18.5
506,전통주,자작막걸리,대한민국,양온소온양조장,"자작나무 수액, 누룩으로 빚은 삼양주 원주",500ml,12
507,전통주,양조학당 뜰,대한민국,양조학당,"멥쌀, 찹쌀, 백국, 효모, 솔잎, 쑥, 정제수",500ml,12
508,전통주,이화주,대한민국,양주골이가전통주,"양주쌀59.5%, 정제수24.6%, 쌀누룩15.9%(국내산)",120ml,8.5
509,전통주,별산막걸리,대한민국,양주도가,"정제수, 쌀(국내산), 입국, 효모, 당류가공품",800ml,6.5
510,전통주,별산오디 스파클링 막걸리,대한민국,양주도가,"정제수, 쌀(국내산), 당류가공품(원당, 올리고), 오디(국내산), 종국, 효모",800ml,6
511,전통주,양지백주,대한민국,양지술곳간,"국내산 쌀, 누룩, 효모, 정제수",500ml,15
512,전통주,모든날에,대한민국,양지술곳간,"정제수48.8%, 찹쌀(국내산, 39%), 멥쌀(국내산, 7.8%), 밀누룩4.4%",500ml,15
513,전통주,아치23,대한민국,양촌감양조장,"감 발효증류주, 정제수",375ml,23
514,전통주,감이슬,대한민국,양촌감영농조합법인,국내산 감,375ml,23
515,전통주,양촌 생 동동주,대한민국,양촌양조,"정제수, 백미 효소제, 효모 등",750ml,10
516,전통주,양촌 생 막걸리,대한민국,양촌양조,"팽화미, 소맥분, 정제수, 물엿, 효소, 국 등",750ml,6
517,전통주,우렁이쌀 손막걸리 DRY,대한민국,양촌양조,"정제수, 찹쌀(국내산), 쌀(국내산), 효모, 종국",500ml,7.5
518,전통주,양촌 우렁이쌀 청주,대한민국,양촌양조,"무농약우렁이찹쌀, 우렁이 쌀, 정제수, 종국, 효모(무감미료)",500ml,14
519,전통주,우렁이쌀 손 막걸리,대한민국,양촌양조,"쌀, 정제수 효모, 정제효소, 효소처리 스테비아",750ml,7.5
520,전통주,마크홀리 오리지널 6.0,대한민국,어메이징브루잉컴퍼니,"정제수, 살(김포산), 국, 산도조절제, 효모",650ml,6
521,전통주,에델 미디움 스위트와인,대한민국,에델농원,"매실(100%), 정제수, 정제당, 효모",375ml,13
522,전통주,에델 스위트와인,대한민국,에델농원,"매실(100%), 정제수, 정제당, 효모",375ml,13
523,전통주,여민락주,대한민국,여주육묘영농조합법인,"국내산 쌀, 누룩, 효모, 정제수",500ml,16
524,전통주,초선의 꿈,대한민국,여포와인농장,국내산 포도,375ml,12
525,전통주,여포의 꿈 (화이트),대한민국,여포와인농장,국내산 포도,750ml,12
526,전통주,여포의 꿈 레드(SWEET),대한민국,여포와인농장,국내산 포도 100%,750ml,12
527,전통주,여포의 꿈 레드(Dry),대한민국,여포와인농장,국내산 포도 100%,750ml,12
528,전통주,역전주,대한민국,역전양조장 (역전회관),"정제수, 멥쌀(국내산), 찹쌀(국내산), 누룩",600ml,9
529,전통주,나 와인,대한민국,영농법인에스비케이조합,국내산 찹쌀 100%,500ml,10
530,전통주,오가피와인,대한민국,영농조합법인 금이산농원,"오가피 열매(국내산), 백설탕, 효모, 메타중아황산칼륨",500ml,12
531,전통주,설련주,대한민국,영농조합법인 석전상온전통주가,"백련, 찹쌀, 멥쌀, 누룩",750ml,16
532,전통주,울금생막걸리 정,대한민국,영덕주조,"국내산 쌀, 국내산 울금",750ml,6
533,전통주,새송이 쌀막걸리 정,대한민국,영덕주조,"국내산 쌀, 새송이버섯",750ml,6
534,전통주,인어교주해적술,대한민국,영덕주조,"정제수, 증류원액(쌀, 국내산), 포도당, 포도과육(국내산), 효소처리스테비아, 포도향(합성향료), 구연산(산도조절제), 진주빛색소, 식용색소청색 제 1호(착색료), 이산화탄소",360ml,15
535,전통주,행복한 상상 쵸코맛,대한민국,영덕주조,"정제수, 정수, 사과(국내산), 복숭아(국내산), 포도과육,(국내산), 카카오",300ml,15
536,전통주,동강더덕주,대한민국,영월더덕영농조합법인,"더덕, 대추구기자, 감초, 원지",360ml,20
537,전통주,예밀와인 로제,대한민국,예밀2리영농조합법인,포도(캠벨얼리),750ml,12
538,전통주,예밀와인 레드 스위트,대한민국,예밀2리영농조합법인,포도(캠벨얼리),750ml,12
539,전통주,예밀와인 레드 드라이,대한민국,예밀2리영농조합법인,포도(캠벨얼리),750ml,13
540,전통주,산내울 오미자주,대한민국,예산사과와인,"오미자, 설탕, 주정, 정제수, 과당",750ml,16
541,전통주,추사40,대한민국,예산사과와인,"사과증류원액, 정제수",500ml,40
542,전통주,추사 블루베리 와인,대한민국,예산사과와인,"예산블루베리 60%(국내산), 설탕, 구연산, 무수아황산, 소르빈산칼륨",375ml,11
543,전통주,추사 애플와인,대한민국,예산사과와인,사과(국내산),375ml,12
544,전통주,추사 로제,대한민국,예산사과와인,사과,375ml,12
545,전통주,추사47,대한민국,예산사과와인,"예산사과(100%), 효모",500ml,47
546,전통주,추사백25,대한민국,예산사과와인,"증류원액(사과증류원액, 사과: 국내산), 정제수",350ml,25
547,전통주,추사백40 사과 증류식 소주,대한민국,예산사과와인,"증류원액(사과증류원액, 사과: 국내산), 정제수",500ml,40
548,전통주,만강에 비친 달,대한민국,예술주조,"홍천쌀, 단호박, 곡자(밀누룩)",500ml,10
549,전통주,예술주조 `무작`,대한민국,예술주조,"정제수, 누룩, 쌀",500ml,53
550,전통주,동짓달 기나긴 밤,대한민국,예술주조,"찹쌀, 맵쌀, 복분자, 전통누룩, 정제수",500ml,16
551,전통주,동몽,대한민국,예술주조,"홍천 쌀, 정제수, 단호박, 국(밀 누룩)",500ml,17
552,전통주,배꽃 필 무렵,대한민국,예술주조,"정제수, 멥쌀(국내산), 누룩","20ml, 140ml",9
553,전통주,홍천강 탁주,대한민국,예술주조,"홍천 쌀, 정제수, 국(밀 누룩)",500ml,11
554,전통주,남산애 포트와인,대한민국,예인화원,"포도(캠벨얼리, MBA, 산머루)",750ml,18.5
555,전통주,남산애 레드와인,대한민국,예인화원,"포도(캠벨얼리, MBA, 산머루)",750ml,14
556,전통주,영탁막걸리,대한민국,예천양조,"정제수, 백미(국내산), 입국(쌀, 밀), 물엿, 올리고당, 누룩(밀), 효모, 아스파탐, 아세설팔칼륨",750ml,6
557,전통주,오계리 아이스와인,대한민국,오계리 와이너리,영천포도,375,14
558,전통주,감자술 13%,대한민국,오대서주양조,"국내산 백미, 국내산 감자, 누룩, 효모, 정제수",700ml,13
559,전통주,서주 16%,대한민국,오대서주양조,"백미(국내산), 감자(국내산), 누룩, 효모, 정제수",400ml,16
560,전통주,다래와인 7004S,대한민국,오름주가,참다래,750ml,8
561,전통주,다래와인 7004D,대한민국,오름주가,참다래,750ml,12
562,전통주,다래와인 3004,대한민국,오름주가,참다래,375ml,8
563,전통주,문경바람 오크,대한민국,오미나라,사과(문경),"750ml, 375ml",40
564,전통주,고운달 백자,대한민국,오미나라,오미자(문경산),500ml,52
565,전통주,고운달 오크,대한민국,오미나라,오미자(문경산),"200ml, 500ml",52
566,전통주,오미로제 연,대한민국,오미나라,오미자,750ml,8
567,전통주,스파클링와인 오미로제 결,대한민국,오미나라,오미자,750ml,12
568,전통주,오미로제 프리미어와인,대한민국,오미나라,오미자(문경산),750ml,12
569,전통주,혼,대한민국,오미나라,문경사과(국내산),375ml,22
570,전통주,독산 53,대한민국,오산양조,"국내산 쌀, 누룩, 효모, 정제수",250ml,53
571,전통주,하얀까마귀,대한민국,오산양조,"물, 쌀(국내산), 국, 효모 (밀 함유)",850ml,8
572,전통주,독산 30,대한민국,오산양조,"정제수, 쌀(국내산), 누룩, 정제효소제, 효모",250ml,30
573,전통주,이천쌀생막걸리,대한민국,오성주조장,국내산 쌀,"750ml, 1,500ml",6
574,전통주,마주 소곡주,대한민국,옥순가 소곡주 마주,"국내산 찹쌀, 국내산 백미, 모싯잎, 우리밀 누룩, 정제수, 효모",500ml,16
575,전통주,마주 소곡화주,대한민국,옥순가 소곡주 마주,"국내산 찹쌀, 국내산 백미, 모싯잎, 우리밀 누룩, 정제수, 효모",500ml,41
576,전통주,옹근달 본막걸리,대한민국,옹근달양조장,"쌀(강화섬 쌀), 정제수, 누룩",375ml,15
577,전통주,어우야,대한민국,왕지케양조장,"야관문(제주산), 정제수, 포도당, 효모",365ml,16
578,전통주,강냉이 막걸리,대한민국,용두산 조은술,"정제수, 쌀, 소맥분, 옥분, 입국, 올리고당, 치자분말, 정제효소제, 효모, 아스파탐, 아세설팜칼륨, 밀함유","1,000ml",6
579,전통주,신선주,대한민국,용두산조은술,"쌀, 능금, 신선초, 천궁, 구기자, 당귀솔잎, 대추, 인삼",750ml,16
580,전통주,예주,대한민국,용두산조은술,"복분자, 주정, 효모, 정제수",750ml,15
581,전통주,소백산생막걸리,대한민국,용두산조은술,"정제수, 쌀, 소맥분, 평화미",750ml,6
582,전통주,금휘,대한민국,용두산조은술(영),"국내산 쌀, 황기, 금나노화된 황금물",500ml,35
583,전통주,소나무와 학,대한민국,용두산조은술(영),"국내산 쌀, 황기",700ml,43
584,전통주,톡쏘는 옥수수동동,대한민국,우리술,"쌀, 정제수, 입국, 옥수수 농축액, 옥수수 추출물 등",750ml,6
585,전통주,톡쏘는 고구마동동,대한민국,우리술,"쌀, 정제수, 입국, 고구마 농축액, 고구마 추출물 등",750ml,6
586,전통주,톡쏘는 알밤동동,대한민국,우리술,"쌀, 정제수, 입국, 밤 농축액, 밤 추출물 등",750ml,6
587,전통주,가평 잣 생막걸리,대한민국,우리술,"쌀, 정제수, 쌀입국, 잣, 효모, 정제효소 등",750ml,6
588,전통주,톡쏘는 쌀 막걸리,대한민국,우리술,국내산 쌀,"750ml, 950ml",6
589,전통주,황도배기 햅쌀막걸리,대한민국,우리술,고창 황토배기 햅쌀,900ml,6
590,전통주,경기백주,대한민국,우리술별처럼 과천도가,"정제수, 경기미 햅쌀, 국, 효모",500ml,14
591,전통주,타락40,대한민국,우유로 만든 증류주 타락,"증류원액(국내산 우유), 정제수","200ml, 375ml",40
592,전통주,맑은내일 발효 막걸리,대한민국,우포의 아침 주식회사,"정제수, 백미(국내산), 누룩, 정제효소, 아스파탐(합성감미료 / 페닐알라닌함유), 밀함유",930ml,6.5
593,전통주,맑은내일 우포,대한민국,우포의아침,"국내산 쌀, 옥수수전분, 효모, 누룩, 양파, 정제수","325ml, 500ml",12
594,전통주,맑은내일 스파클링 막걸리,대한민국,우포의아침,"정제수, 멥쌀(수입산), 누룩, 정제효소, 아스파탐(감미료/페닐알라닌 함유), 밀함유",750ml,5
595,전통주,맑은내일 운암1945,대한민국,우포의아침,"정제수, 쌀, 누룩, 효소제",750ml,12
596,전통주,황감찰,대한민국,운곡도가,"국내산 쌀, 찹쌀, 누룩, 효모, 정제수",750ml,8
597,전통주,토끼구름,대한민국,운곡도가,"정제수, 쌀, 올리고당, 전분, 조효소제, 혼합제제",750ml,6.8
598,전통주,왕피천을 품은 미소생막걸리,대한민국,울진술도가,"쌀, 누룩, 정제수",750ml,7
599,전통주,미소 생막걸리,대한민국,울진술도가,"쌀(국내산), 누룩, 정제수",750ml,7
600,전통주,원소주,대한민국,원스피리츠 농업법인 주식회사,"물, 쌀(국내산)",375ml,22
601,전통주,원조소곡주,대한민국,원조소곡주,"찹쌀(36%), 누룩(3%)",720ml,16
602,전통주,한산 소곡화주,대한민국,원조소곡주,"찹쌀, 멥쌀, 누룩","300ml, 500ml",41
603,전통주,그랑티그르 M1988,대한민국,월류원,"캠벨얼리 포도, 오미자",750ml,12
604,전통주,그랑티그르 CE2002,대한민국,월류원,캠벨얼리 포도,750ml,12
605,전통주,오드린 베베마루 아내를 위한,대한민국,월류원,캠벨얼리 포도,375ml,10
606,전통주,베베마루 캠밸로제,대한민국,월류원,포도(캠벨얼리),375ml,12
607,전통주,베베마루 캠벨로제 스위트,대한민국,월류원,포도(캠벨얼리),375ml,10
608,전통주,베베마루 설레임 로제 스위트와인,대한민국,월류원 오드린,포도(캠벨얼리 100%),"375ml, 750ml",12
609,전통주,위 (we)레드 (2018)와인,대한민국,위 와이너리,국내산포도 100%,750ml,12
610,전통주,은자골 생 탁배기,대한민국,은척양조장,"백미, 소맥분, 정제수, 전분당, 국, 누룩, 효소, 아스파탐",750ml,5
611,전통주,이상헌 약주,대한민국,이가수불,"아산쌀, 국(국내산 밀누룩), 정제수",500ml,18
612,전통주,남산둘레길,대한민국,이대앞양조장,"물, 쌀(국산), 국(밀함유), 솔잎(국산)",750ml,7.6
613,전통주,눈내린여름밤,대한민국,이대앞양조장,"쌀, 누룩, 물",375ml,12
614,전통주,이동 생 쌀 막걸리,대한민국,이동주조,"정제수, 백미, 팽화미, 입국, 아스파탐 등",750ml,6
615,전통주,뱁새,대한민국,이쁜꽃양조장,"쌀, 찹쌀, 모싯잎, 생강, 구절초",375ml,23
616,전통주,아이원 막걸리,대한민국,이원양조장,"쌀, 밀, 입국, 누룩, 정제수",750ml,6
617,전통주,시인의마을,대한민국,이원양조장,"쌀(국내산), 누룩, 정제수",700ml,10
618,전통주,우리밀 막걸리 향수,대한민국,이원양조장,"쌀, 밀, 입국, 누룩, 정제수",700ml,9
619,전통주,이화백주 순탁주,대한민국,이화백주,"정제수, 쌀(국내산), 누룩, 설탕, 물엿, 밀, 아스파탐",940ml,6
620,전통주,인천 생 소성주,대한민국,인천탁주,"쌀, 팽화미, 정제수, 국, 효모, 아스파탐, 효소, 이소말토 올리고당",750ml,6
621,전통주,천안연미주,대한민국,입장주조㈜,국내산 쌀,375ml,13
622,전통주,자두와인,대한민국,자두사랑,국내산 자두,750ml,12
623,전통주,홍삼명주,대한민국,자연과 인삼,홍삼(국내산),"375ml, 500ml, 750ml",14
624,전통주,자희향 나비,대한민국,자희자양,"찹쌀(국내산), 멥쌀(국내산), 누룩(국내산), 정제수",500ml,8
625,전통주,자희향,대한민국,자희자양,"찹쌀(국내산), 멥쌀(국내산), 누룩(국내산), 정제수",500ml,12
626,전통주,자희향 국화주,대한민국,자희자양,국내산 쌀,375ml,15
627,전통주,레돔 시드르,대한민국,작은알자스,사과,750ml,6
628,전통주,레돔 내추럴 스파클링 로제와인,대한민국,작은알자스,포도,750ml,7.5
629,전통주,세종대왕어주 탁주,대한민국,장희도가,"쌀(국내산), 누룩, 정제수",500ml,13
630,전통주,세종대왕어주 약주,대한민국,장희도가,"쌀, 누룩 정제수",500ml,15
631,전통주,고향춘,대한민국,전가네,"포천쌀, 찹쌀, 향미찹쌀, 전가네이화곡, 정제수",350ml,10
632,전통주,이강주,대한민국,전주 이강주,"쌀, 소맥분, 정맥, 배, 생강, 계피, 울금, 꿀",375ml,19
633,전통주,경기전,대한민국,전주술로시티,"국내산 보리, 맥아, 호프펠렛, 효모, 정제효소제, 정제수",1000ml,5
634,전통주,오디여라,대한민국,전주이강주,"오디증류원액(오디:국내산), 정제수, 올리고당",375ml,25
635,전통주,청진주,대한민국,전통주연구개발원,"찹쌀, 누룩, 정제수",375ml,16
636,전통주,아리아리,대한민국,정선명주,"정제수, 과실주증류주원액(정제수, 오가피열매: 정선산, 설탕, 효모)",500ml,40
637,전통주,곤드레생막걸리,대한민국,정선명주,"백미(국내산), 감자(정선산), 곤드레(정선산)",750ml,6
638,전통주,청혼골드,대한민국,제이앤제이브루어리,"경기미(용인백옥쌀), 밀누룩, 국, 효모, 증류소주",375ml,19.5
639,전통주,청혼 화이트,대한민국,제이앤제이브루어리유한회사,"경기미(용인백옥쌀), 밀누룩, 국, 효모",375ml,13
640,전통주,청혼 레드25,대한민국,제이앤제이브루어리유한회사,"경기미(용인백옥쌀), 경기미(보리), 밀누룩, 국, 효모",375ml,25
641,전통주,청혼 블루,대한민국,제이앤제이브루어리유한회사,"경기미(용인백옥쌀), 밀누룩, 국, 효모",375ml,15
642,전통주,문경바람 백자 25,대한민국,제이엘,사과(문경산),750ml/375ml,25
643,전통주,문경바람 백자 40,대한민국,제이엘,사과(문경산),750ml/375ml,40
644,전통주,기다림 34,대한민국,제이케이크래프트,"국내산 멥쌀, 국내산 찹쌀, 곡자, 정제수",500ml,12
645,전통주,기다림 25,대한민국,제이케이크래프트,"국내산 백미, 국내산 찹쌀, 곡자, 정제수",750ml,8
646,전통주,기다림 16,대한민국,제이케이크래프트,"국내산 찹쌀, 국내산 흑미, 곡자, 정제수",750ml,9
647,전통주,기다림 맑은술,대한민국,제이케이크래프트,"국내산 멥쌀, 국내산 찹쌀, 곡자, 정제수",500ml,15
648,전통주,동래아들,대한민국,제이케이크래프트,"정제수, 찹쌀, 맵쌀, 밀누룩",750ml,6
649,전통주,제주술익는집 고소리술,대한민국,제주고소리술익는집,"잡곡, 누룩, 정제수",400ml,40
650,전통주,오메기 맑은술,대한민국,제주고소리술익는집,"좁쌀, 햅쌀, 정제수, 누룩",500ml,16
651,전통주,패치배치 만다린,대한민국,제주곶밭,"멥쌀, 감귤, 감귤과피, 당유자과피, 귤꽃",600ml,8
652,전통주,"동백꽃, 제주",대한민국,제주본초협동조합 왕지케양조장,"동백꽃잎, 정제수, 포도당 효모",365ml,16
653,전통주,세우리,대한민국,제주샘주,"산양삼, 하수오, 구기자, 쌀",700ml,45
654,전통주,고소리술,대한민국,제주샘주,"백미, 차조, 입국, 누룩, 효모(팽창제), 정제효소, 스테비올배당체(감미료), 정제수","29,40-375ml, 40-500ml",29
655,전통주,오메기술,대한민국,제주샘주,"쌀, 차조, 입국, 누룩, 효모, 효소, 청호, 조릿대, 감초, 정제수",375ml,13
656,전통주,니모메,대한민국,제주샘주,"백미, 누룩, 감귤 진피, 효모",375ml,11
657,전통주,고소리술,대한민국,제주샘주,"쌀, 차조, 입국, 누룩, 효모, 효소, 정제수, 스테비올 배당체",375ml,40
658,전통주,제주감귤주 귤로만,대한민국,제주와이너리,감귤원액(제주),750ml,7
659,전통주,제주몬순커피주,대한민국,제주커피수목원,"정제수, 설탕, 커피생두, 효모",200ml,11
660,전통주,커피와인 톡시,대한민국,제주커피수목원,커피생두 발효액,200ml,11
661,전통주,커피냑,대한민국,제주커피수목원,"커피생두, 백설탕, 효모, 정제수, 클로로겐산",200ml,40
662,전통주,의림소주,대한민국,제천한약(영),국내산 쌀,700ml,40
663,전통주,한비 유자술,대한민국,제천한약(영),"쌀(국내산), 유자(국내산)",750ml,35
664,전통주,한비 무병장수술,대한민국,제천한약(영),"국내산쌀, 흑삼, 인삼, 오가피, 오미자, 구기자, 복분자, 차전자, 토사자, 산수유","375ml, 750ml",35
665,전통주,한비 동충하초술,대한민국,제천한약(영),"국내산 쌀, 누룩, 가시오가피 뿌리, 동충하초, 정제수","375ml, 750ml",35
666,전통주,한비오가피술골드,대한민국,제천한약(영),"국내산 쌀, 국내산 오가피",500ml,35
667,전통주,한비 오가피술,대한민국,제천한약영농조합법인,"국내산 쌀, 누룩, 가시오가피 뿌리, 정제수","375ml, 750ml",35
668,전통주,한비 쌀소주,대한민국,제천한약영농조합법인,"국내산 쌀, 누룩, 정제수","375ml, 750ml",40
669,전통주,젤코바 스페셜와인,대한민국,젤코바와이너리,"국내산 산머루, MBA포도","375ml, 500ml, 750ml",11.5
670,전통주,젤코바 프리미엄 와인,대한민국,젤코바와이너리,"국내산 산머루, MBA포도","500ml, 750ml",12
671,전통주,젤코바 캠벨와인,대한민국,젤코바와이너리,"유기농 캠벨포도, 유기농 설탕",750ml,13.5
672,전통주,홍시와인,대한민국,젤코바와이너리,"감열매(국내산), 효모, 메타중아황산칼륨, 이산화황",375ml,10.5
673,전통주,우도땅콩전통주,대한민국,조은술 세종,"쌀, 우도땅콩",750ml,6
674,전통주,세종청주생막걸리,대한민국,조은술 세종,"쌀, 소맥분","750ml, 1200ml",6
675,전통주,세종 알밤주,대한민국,조은술 세종,"정제수, 백미, 소맥분, 알밤(국내산), 전분당, 효모, 젖산",750ml,6
676,전통주,생 청주 막걸리,대한민국,조은술 세종,"쌀, 소맥분, 국, 조제종국, 효모, 물엿 등",750ml,6
677,전통주,우도 땅콩 전통주,대한민국,조은술 세종,"정제수, 전분당, 백미, 국, 땅콩분, 효모, 젖산 등",750ml,6
678,전통주,바나나 주,대한민국,조은술 세종,"쌀, 국, 정제수, 바나나 농축액, 조제종국, 효모, 물엿",750ml,4
679,전통주,괴산 세종 찰옥수수 전통주,대한민국,조은술 세종,"정제수, 백미, 국, 옥수수분, 전분당, 조제종국, 효모, 조효소제, 치자색소,젖산, 아스파탐, 아세설팜칼륨,허브후레바E, 누룽지향, 구연산",750ml,6
680,전통주,아이엠더문,대한민국,조은술 세종,"쌀증류식소주원액(유기농쌀100%), 주정, 정제수, 과실농축액(국내산-사과,포도,딸기,오렌지,망고) 등","375ml, 750ml",17
681,전통주,이도 22,대한민국,조은술 세종,쌀(국내산),375ml,22
682,전통주,세종 오가닉,대한민국,조은술 세종,"정제수, 유기농 백미, 국, 효모, 정제효소, 구연산",375ml,13
683,전통주,유기농이도 14,대한민국,조은술 세종,"물, 유기농쌀(국내산),국[유기농쌀(국내산)], 우리밀누룩(국내산)",750ml,14
684,전통주,세종 쌀막걸리,대한민국,조은술 세종,국내산 쌀,"750ml, 1200ml, 1700ml",6
685,전통주,유기농 이도 42,대한민국,조은술 세종,"유기농쌀 (100%), 정제수, 증류원액, 국, 조제종국, 효모 등","375ml, 750ml",42
686,전통주,유기농 이도 32,대한민국,조은술 세종,"물, 증류원액(유기농 쌀, 국내산)",375ml,32
687,전통주,미나리싱싱주,대한민국,조은술 세종,"쌀(유기농,국내산), 찹쌀(유기농, 국내산), 미나리(친환경, 국내산), 국(유기농쌀,국내산), 종국, 효모, 과당, 아스파탐",300ml,14.5
688,전통주,술그리다 생탁주,대한민국,좋은술,"국내산쌀, 누룩",500ml,10
689,전통주,천비향 오양주 탁주,대한민국,좋은술,"국내산쌀, 누룩",500ml,14
690,전통주,술예쁘다 생탁주,대한민국,좋은술,"국내산 쌀, 누룩",500ml,13
691,전통주,천비향 화주,대한민국,좋은술,"국내산 쌀, 누룩",375ml,40
692,전통주,천비향 오양주 약주,대한민국,좋은술,"국내산 쌀, 누룩",500ml,16
693,전통주,1932 새싹땅콩+햅쌀/흑미,대한민국,㈜1932 포천일동막걸리,"새싹땅콩+고시히카리 쌀, 새싹땅콩+진도산 흑미","500ml, 900ml",6
694,전통주,담은,대한민국,㈜1932 포천일동막걸리,"쌀(국내산), 입국, 효모, 고과당, 정제효소제, 정제수",750ml,6.5
695,전통주,금산인삼백주,대한민국,㈜금산인삼주,"국내산쌀 95.8%, 국내산 인삼 4.2%",500ml,43
696,전통주,금산인삼주 수삼 500,대한민국,㈜금산인삼주,"국내산 쌀, 국내산 인삼",500ml,43
697,전통주,수삼단본 720,대한민국,㈜금산인삼주,"국내산 쌀, 국내산 인삼",720ml,43
698,전통주,배꽃담은연,대한민국,㈜농업회사법인 술 빚는 전가네,"쌀 26.1%, 효모 0.07%, 젖산 0.05%, 정제수 72.31%",720ml,10
699,전통주,산정호수 동정춘막걸리,대한민국,㈜농업회사법인 술 빚는 전가네,"국내산 쌀, 누룩, 정제수",720ml,6
700,전통주,동백우리쌀생막걸리,대한민국,㈜동백양조,"정제수, 쌀 소맥분 물엿, 곡자, 효모, 조제종국, 정제효소, 아스파탐,아세설팜칼륨",750ml,6
701,전통주,두레앙목통숙성주,대한민국,㈜두레양조,목통숙성주원액,500ml,35
702,전통주,두레앙22,대한민국,㈜두레양조,"포도, 메타중아황산칼륨, 효모, 설탕, 정제수",375ml,22
703,전통주,두레앙 일반증류주,대한민국,㈜두레양조,국내산 포도,750ml,35
704,전통주,두레앙와인,대한민국,㈜두레양조,거봉포도,750ml,12
705,전통주,아우내,대한민국,㈜두레양조,"포도주 증류원액, 주정",360ml,20
706,전통주,쑥크레,대한민국,주방장양조장,"쌀, 누룩, 쑥, 물",375ml,10
707,전통주,도래하,대한민국,㈜배혜정농업회사법인,"정제수, 주정, 쌀소주원액(정제수, 쌀(국내산), 국, 효모, 젖산), 합성함료(진향, 감초향), 구연산, 천연향료(고수향), 아스파탐(감미료, 페닐알라닌 함유)",350ml,19
708,전통주,백제한산군주,대한민국,㈜백제명가주조,"찹쌀, 물, 멥쌀, 주정, 효모, 홍고추, 구절초, 과당, 소금, 스테비아",250ml,25
709,전통주,부자진 오미자 진,대한민국,㈜부자진농업회사법인,"솔잎, 쑥, 헛개, 한라봉, 오미자 등",375ml,44
710,전통주,부자진 배치#0001,대한민국,㈜부자진농업회사법인,"캐모마일, 라벤더, 레몬 베버나, 노간주나무 열매, 한라봉, 헛개나무, 솔잎,쑥",375ml,44
711,전통주,사임주,대한민국,㈜사리원,"국내산 찹쌀, 국내산 멥쌀",500ml,16
712,전통주,삼해소주,대한민국,㈜삼해소주,"멥쌀, 찹쌀, 누룩",400ml,45
713,전통주,선운산 복분자주 프리미엄,대한민국,㈜선운산복분자주 흥진,"복분자(고창산), 과당, 구연산, 아스파탐, 무수아황산",700ml,19
714,전통주,선운산 복분자주,대한민국,㈜선운산복분자주 흥진,"복분자(고창산), 과당, 구연산, 아스파탐, 무수아황산",375ml,16
